seed,n_dc,budget,datacenter_ids,arm,model_weights,active_models,offline_support_edges,rule_active_models,rule_support_edges
46,8,3,0|1|2|3|4|5|6|7,6,unlabeled:1.000,unlabeled,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,7,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,0,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,1,inception3:1.000,inception3,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,2,resnet50:1.000,resnet50,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,3,vgg16:1.000,vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,4,inception3:0.188|resnet50:0.188|unlabeled:0.438|vgg16:0.188,unlabeled|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,5,bert:0.138|inception3:0.175|resnet50:0.150|unlabeled:0.350|vgg16:0.188,unlabeled|bert|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,6,unlabeled:1.000,unlabeled,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
47,8,3,0|1|2|3|4|5|6|7,7,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,0,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,1,inception3:1.000,inception3,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,2,resnet50:1.000,resnet50,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,3,vgg16:1.000,vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,4,inception3:0.188|resnet50:0.188|unlabeled:0.438|vgg16:0.188,unlabeled|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,5,bert:0.138|inception3:0.175|resnet50:0.150|unlabeled:0.350|vgg16:0.188,unlabeled|bert|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,6,unlabeled:1.000,unlabeled,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,7,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,0,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,1,inception3:1.000,inception3,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,2,resnet50:1.000,resnet50,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,3,vgg16:1.000,vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,4,inception3:0.188|resnet50:0.188|unlabeled:0.438|vgg16:0.188,unlabeled|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,5,bert:0.138|inception3:0.175|resnet50:0.150|unlabeled:0.350|vgg16:0.188,unlabeled|bert|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,6,unlabeled:1.000,unlabeled,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,7,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,0,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,1,inception3:1.000,inception3,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,2,resnet50:1.000,resnet50,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,3,vgg16:1.000,vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,4,inception3:0.188|resnet50:0.188|unlabeled:0.438|vgg16:0.188,unlabeled|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,5,bert:0.138|inception3:0.175|resnet50:0.150|unlabeled:0.350|vgg16:0.188,unlabeled|bert|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,6,unlabeled:1.000,unlabeled,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,7,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,0,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,1,inception3:1.000,inception3,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,2,resnet50:1.000,resnet50,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,3,vgg16:1.000,vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,4,inception3:0.188|resnet50:0.188|unlabeled:0.438|vgg16:0.188,unlabeled|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,5,bert:0.138|inception3:0.175|resnet50:0.150|unlabeled:0.350|vgg16:0.188,unlabeled|bert|inception3|resnet50|vgg16,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,6,unlabeled:1.000,unlabeled,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,7,bert:1.000,bert,1020,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
