seed,n_dc,budget,datacenter_ids,arm,model_weights,active_models,offline_support_edges
50,8,3,0|2|4|5|7|8|12|15,0,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,1,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,2,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,3,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,4,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,5,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,6,unlabeled:1.000,unlabeled,1020
50,8,3,0|2|4|5|7|8|12|15,7,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,0,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,1,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,2,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,3,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,4,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,5,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,6,unlabeled:1.000,unlabeled,1020
51,8,3,0|2|4|5|7|8|12|15,7,unlabeled:1.000,unlabeled,1020
